3996.37951,0.99933
3994.45076,0.99933
3992.52201,0.99933
3990.59325,0.99933
3988.6645,0.99933
3986.73574,0.99933
3984.80699,0.99933
3982.87823,0.99933
3980.94948,0.99933
3979.02072,0.99933
3977.09197,0.99933
3975.16321,0.99933
3973.23446,0.99933
3971.3057,0.99937
3969.37695,0.99938
3967.4482,0.99936
3965.51944,0.99933
3963.59069,0.99929
3961.66193,0.99925
3959.73318,0.99922
3957.80442,0.99921
3955.87567,0.99925
3953.94691,0.99929
3952.01816,0.9993
3950.0894,0.99927
3948.16065,0.99921
3946.2319,0.99916
3944.30314,0.99911
3942.37439,0.99907
3940.44563,0.99905
3938.51688,0.99905
3936.58812,0.99907
3934.65937,0.99911
3932.73061,0.99914
3930.80186,0.99919
3928.8731,0.99926
3926.94435,0.99934
3925.01559,0.99941
3923.08684,0.99942
3921.15809,0.99936
3919.22933,0.99926
3917.30058,0.99917
3915.37182,0.9991
3913.44307,0.99903
3911.51431,0.999
3909.58556,0.999
3907.6568,0.99902
3905.72805,0.99905
3903.79929,0.99906
3901.87054,0.99905
3899.94178,0.99905
3898.01303,0.99908
3896.08428,0.99916
3894.15552,0.99923
3892.22677,0.99927
3890.29801,0.99929
3888.36926,0.99931
3886.4405,0.99935
3884.51175,0.99939
3882.58299,0.99944
3880.65424,0.99948
3878.72548,0.99946
3876.79673,0.99936
3874.86798,0.99923
3872.93922,0.99913
3871.01047,0.99909
3869.08171,0.99907
3867.15296,0.99905
3865.2242,0.99906
3863.29545,0.99907
3861.36669,0.99909
3859.43794,0.99909
3857.50918,0.99908
3855.58043,0.9991
3853.65167,0.99916
3851.72292,0.99926
3849.79417,0.99934
3847.86541,0.99939
3845.93666,0.99941
3844.0079,0.99942
3842.07915,0.99945
3840.15039,0.99948
3838.22164,0.9995
3836.29288,0.99951
3834.36413,0.99953
3832.43537,0.99952
3830.50662,0.99951
3828.57786,0.99949
3826.64911,0.99951
3824.72036,0.99953
3822.7916,0.99953
3820.86285,0.9995
3818.93409,0.99946
3817.00534,0.99946
3815.07658,0.99948
3813.14783,0.99951
3811.21907,0.99956
3809.29032,0.99961
3807.36156,0.99965
3805.43281,0.9997
3803.50406,0.99974
3801.5753,0.99978
3799.64655,0.99981
3797.71779,0.99982
3795.78904,0.99984
3793.86028,0.99985
3791.93153,0.99986
3790.00277,0.99989
3788.07402,0.99993
3786.14526,0.99998
3784.21651,0.99999
3782.28775,0.99997
3780.359,0.99994
3778.43025,0.99992
3776.50149,0.9999
3774.57274,0.99989
